ID,input,output,subset
ID_TR_Aka_Gha_A3B1799D,"Ɔkwan bɛn so na mmabunbɛtumi aboa wɔn mfɛfoɔ a nsa anaa nnubɔne ama wɔayɛ wɔn ayayadeɛ? Yei bi ne sɛnea wɔbɛkyekye wɔn werɛ, sɛnea wɔbɛboa wɔn ma wɔanya mmoa firi nnwumakuo a ɛfata hɔ, ne sɛnea wɔbɛsiw afɔbu suban ne nsɛm a nkurɔfoɔ de gu oyarefoɔ no so no kwan.","Mmabun betumi aboa atipɛnfo a ebia nsa anaa nnubɔne ama wɔayɛ wɔn ayayadeɛ so denam: Nkate fam mmoa a wɔde bɛma na wɔagye wɔn nkate atom a wɔremmu atɛn anaasɛ wɔmfa asodi nto wɔn so. Wɔn a wɔbɛhyɛ wɔn nkuran ma wɔakɔhwehwɛ ayaresa na wɔanya mmoa nnwuma te sɛ afotu, telefon a wɔde frɛ nkurɔfo wɔ ɔhaw mu, anaa ahyehyɛde ahorow a wɔkamfo nkurɔfo. Boa a wɔbɛboa wɔn ma wɔafa akwan horow a wɔbɛfa so abɔ amanneɛ, a nea ɛka ho ne sɛ wɔbɛkɔ mmarahyɛ baguafo nkyɛn anaasɛ wɔbɛhwehwɛ mmara kwan so mmoa sɛ wɔpɛ sɛ wɔde mmara kwan so asɛm bɛkɔ atia nea ɔyɛɛ wɔ bɔne no a. Su ne nneyɛe a wɔde to nea wɔayɛ no bɔne so a wɔbɛkasa atia denam si a wobesi so dua sɛ asɛyɛde no da nea ɔyɛɛ bɔne no so, na ɛnyɛ nea wɔayɛ no bɔne no so, ne tema ne ntease a wɔbɛma anya nkɔso wɔ wɔn a wɔanya wɔn ti adidi mu no so.",Aka_Gha
ID_TR_Aka_Gha_1C80317F,"Edinnsiananmu bɛn na nnipa a ɛsono wɔn bɔbeasu taa de di dwuma, na yɛbɛyɛ dɛn ahwɛ ahu sɛ yɛde redi dwuma yiye?","Wɔ Ghana mu no, amanmmra no gye binary gender nkutoo tom a she/he edinnsiananmu nkutoo na ɛka ho",Aka_Gha
ID_TR_Aka_Gha_06671AD1,Ɔkwan bɛn so na ɔbarima ne ɔbea nna a wɔtwe wɔn ho fi ho anaa nna mu adwumadi a wɔtwentwɛn so no boa ma asiane so tew?,"Sɛ wɔtwe wɔn ho fi nna mu anaasɛ wɔtwentwɛn wɔn nan ase a, ɛboa ma asiane nso tew denam asiane a ɛwɔ STI ne HIV a ɛbata nna ho a woyi fi hɔ anaasɛ wɔkyɛ so. Sɛ obi twe ne ho fi ho a, ɛkyerɛ sɛ ɔbɛkwati nna mu dwumadi biara, a ɔbarima ne ɔbea nna a ɔde ne ho hyɛ ɔbarima ne ɔbea nna mu, awotwaa mu, ne anom nna ka ho. Sɛ wopaw sɛ wobɛtwe wo ho afi nna ho anaasɛ wobɛtwentwɛn nna mu kosi sɛ wubesiesie wo ho na wo ne ɔhokafo a onni ɔbarima ne ɔbea nna mu yare ne HIV nni ɔyere biako ntam abusuabɔ so no, wotew asiane a ɛwɔ hɔ sɛ wubenya ɔyare no so kɛse. Bio nso, twe a wɔtwe wɔn ho fi ho no ma ankorankoro nya bere sua nna mu akwahosan ho ade, nya nkitahodi ho nimdeɛ, na wosisi gyinae a ɛfata wɔ wɔn nna mu nneyɛe ho.",Aka_Gha
ID_TR_Aka_Gha_BDD640FB,"Dɛn ne aduru a wodi si nyisɛn ano ntɛm ntɛm, na ɛyɛ adwuma sɛn?","Aduru a wodi si nyisɛn ano ntɛm ntɛm  (Emergency contraception (EC))  kyerɛ akwan a wɔfa so siw nyinsɛn ano wɔ nna a wɔammɔ ho ban, nyinsɛn ano a entumi nyɛ adwuma yiye, anaa nna mu ɔbrasɛe akyi. EC yɛ adwuma denam ovulation a esiw ano anaasɛ ɛkyɛ, ɛwo a wɔde mmadwoa nyinsɛn, anaasɛ ɛwo a wɔahyɛ no ma a wɔde hyɛ awotwaa mu, a egyina ɔkwan pɔtee a wɔfa so yɛ ne bere a wɔde ma so.",Aka_Gha
ID_TR_Aka_Gha_46685257,"Hu sɛnea ɛyɛ den sɛ wubehu bɔbea mu basabasayɔ (GBV) na woayɛ ho biribi, na si hia a ɛho hia sɛ wohwehwɛ mmoa so dua.","Ɛnyɛ mmerɛw bere nyinaa sɛ wubehu bɔbea mu basabasayɔ (GBV), nanso kae sɛ, mmoa a wobɛhwehwɛ no yɛ ahoɔden ho sɛnkyerɛnne, na ɛnyɛ mmerɛwyɛ.",Aka_Gha
ID_TR_Aka_Gha_3EB13B90,"ɛdɛn haw ne nsusuaso aa ani nndaso nya wɔ nea broni bɛkasɛ 'technology' a yɛde di dwuma wɔ ASRH mu, te sɛ abɛɛfo so ateetee anaa abɛɛfo nsem bone?",Intanɛt so doko ateetee(adwen mu nsusuaso). Nneɛma bɔne a ɛnsie (Atorɔ nsɛm). Kokoam/ nsɛm banmɔ (kokoam korɔno).,Aka_Gha
ID_TR_Aka_Gha_392456DE,"So ayaresa ahorow wɔ hɔ a wobetumi de adi dwuma, te sɛ ankorankoro, kuo, anaa abusua ayaresa, na sɛn na wɔde toto ho?","Yiw, ayaresa ahorow wɔ hɔ a wobetumi de adi dwuma, a ankorankoro, kuo, ne abusua ayaresa ka ho. Sɛnea wɔde toto ho ni: Ankorankoro Ayaresa: Ɛfa nhyiam a wo ne ɔfotufo anaa ɔyaresafo yɛ mmiako mmiako, na wode w’adwene si w’ankasa wo nsusuwii, wo atinka, ne osuahu ahorow so. Kuo Ayaresa: Ɛfa nhyiam ahorow a wɔne nnipa kuw ketewaa bi a wɔwɔ dadwen anaa nsɛnnennen a ɛte saa ara yɛ, de mmoa, mmuae, ne adwene a efi afoforo hɔ ma. Abusua Ayaresa: Ɛfa nhyiam ahorow a wɔne abusua mufo yɛ de di abusuabɔ mu nkɔso, nkitahodi nhyehyɛe, ne ntawntawdi a ɛwɔ abusua nhyehyɛe no mu ho dwuma. Ayaresa biara wɔ n’ankasa mfaso na wobetumi agyina w’ahiade pɔtee ne nea wopɛ so akamfo akyerɛ.",Aka_Gha
ID_TR_Aka_Gha_23B8C1E9,"Akwan bɛn na akyerɛkyerɛfo betumi afa so adi ayayade, anaa nyiyim a egyina nipadua kɛse, ne honam ani hwɛbea, anaa nipadua su so wɔ sukuu tebea horow mu ho dwuma?","Akyerɛkyerɛfoɔ bɛtumi adi ayayadeɛ, anaa nyiyim a egyina nipadua kɛseɛ, ne honam ani hwɛbea, anaa nipadua mu su so ho dwuma wɔ sukuu tebea mu denam nhyehyɛeɛ a ɛda adi pefee a wɔde ko tia asisifoɔ a wɔde bedi dwuma, nteteeɛ a wɔde bɛma adwumayɛfoɔ wɔ ayayadeɛ nneyɛeɛ a wɔbɛhunu na wɔayɛ ho biribi, tema ne obuo a wɔbɛma anya nkɔsoɔ wɔ asuafoɔ mu, ne amammerɛ a ɛfa nnipa nyinaa a wɔbɛka wɔn ho na wɔagye wɔn atom ho. Mmoa nhyehyɛe ahorow a wɔbɛyɛ ama wɔn a wɔayɛ wɔn basabasa, hokwan ahorow a wɔbɛma wɔn a wɔhwɛ no de wɔn ho ahyɛ mu, ne awofo ne wɔn a wɔhwɛ wɔn a wɔde wɔn ho bɛhyɛ mmɔden a wɔbɔ sɛ wobesiw ano mu nso yɛ akwan a ɛho hia.",Aka_Gha
ID_TR_Aka_Gha_BC8960A9,"Dwuma bɛn na mpanyimfo a wotumi de wɔn ho to wɔn so, te sɛ awofo, akyerɛkyerɛfo, sukuu afotufo, anaa apomoden ho adwumayɛfo betumi adi wɔ mmoa a wɔde ma mmabun a ebia wɔrepere wɔ adwene anaa nneyɛe a ɛne sɛ wobekum wɔn ho no mu?","Mpanyimfo a Wogye Wɔn Di Dwuma: Mpanyimfo a wogye wɔn di, te sɛ awoɔfo, akyerɛkyerɛfo, sukuu afotufo, anaa apomoden ho adwumayɛfo di dwuma titiriw wɔ mmoa a wɔde ma mmabun a ebia wɔrepere wɔ adwene anaa nneyɛe a ɛne sɛ wobekum wɔn ho no mu. Wobetumi ama aso a etie, akwati sɛ wɔbɛbu atɛn, wɔakwati sɛ wobehu no sɛ ɔkwan a wɔfa so de wɔn adwene si so, de akwankyerɛ ne nneɛma bɛma, aboa ma wɔde mmabun abata mmoa adwuma a ɛfata ho, na wɔakasa ama wɔn yiedi.",Aka_Gha
ID_TR_Aka_Gha_1A3D1FA7,"Na sɛ minni akwahosan ho insurance nso ɛ, so akwan horow a ne bo nyɛ den da so ara wɔ hɔ a mede besiw nyinsɛn ano?","Sɛ wonni insurance mpo a, akwan bi wɔ hɔ a wobetumi afa so anya nnuru a wɔde siw nyinsɛn ano a ne bo nyɛ den: Akwahosan adwumayɛbea ahorow bi de nnuru a wɔde siw nyinsɛn ano a wɔatew so anaasɛ wontua hwee ma mmabun. Kɔndɔm nhyehyɛe a wontua hwee: Nnumakuo pii de kɔndɔm a wontua hwee anaasɛ ne bo nyɛ den ma.",Aka_Gha
